Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 256, 1, 1, 8, 0.179658, 0.137324, N/A, 0.000491199, 0.000536055, 0.0181891, 0.00432889, 2, 2, 1, 8, 1, 1, 56.0152, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.179658, 0.137324, N/A, 0.000491199, 0.000536055, 0.0181891, 0.00432889, 2, 2, 1, 8, 1, 1, 56.0152, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.179658, 0.137324, N/A, 0.000491199, 0.000536055, 0.0181891, 0.00432889, 2, 2, 1, 8, 1, 1, 56.0152, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.179658, 0.137324, N/A, 0.000491199, 0.000536055, 0.0181891, 0.00432889, 2, 2, 1, 8, 1, 1, 56.0152, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.196421, 0.152133, N/A, 0.000576593, 0.000638528, 0.0222903, 0.00813028, 2, 2, 1, 8, 1, 1, 55.8609, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.196421, 0.152133, N/A, 0.000576593, 0.000638528, 0.0222903, 0.00813028, 2, 2, 1, 8, 1, 1, 55.8609, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.196421, 0.152133, N/A, 0.000576593, 0.000638528, 0.0222903, 0.00813028, 2, 2, 1, 8, 1, 1, 55.8609, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.196421, 0.152133, N/A, 0.000576593, 0.000638528, 0.0222903, 0.00813028, 2, 2, 1, 8, 1, 1, 55.8609, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.212241, 0.16613, N/A, 0.000659356, 0.000737286, 0.0265859, 0.0130856, 2, 2, 1, 8, 1, 1, 55.892, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.212241, 0.16613, N/A, 0.000659356, 0.000737286, 0.0265859, 0.0130856, 2, 2, 1, 8, 1, 1, 55.892, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.212241, 0.16613, N/A, 0.000659356, 0.000737286, 0.0265859, 0.0130856, 2, 2, 1, 8, 1, 1, 55.892, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
